knob,severity,cell_label,rep,pc_seed,phe_seed,failed,spearman,max_abs_err,mean_abs_err,anchor_slope,anchor_r2
pc_lapse_rate,0.15,pc_lapse=0.15,9,60018,60019,False,1.0,0.024918073267327312,0.008095473910802072,-0.3421553139325706,0.9955043771229035
pc_lapse_rate,0.15,pc_lapse=0.15,10,60020,60021,False,1.0,0.035165408261472964,0.011421609054532683,-0.3473102120668308,0.9955470155134324
pc_lapse_rate,0.15,pc_lapse=0.15,11,60022,60023,False,1.0,0.03241703489442427,0.0074242783878803965,-0.35381859683543115,0.9918659220189998
pc_lapse_rate,0.15,pc_lapse=0.15,12,60024,60025,False,1.0,0.018604392870630426,0.0063210510523211225,-0.359897894475014,0.9980387481592038
pc_lapse_rate,0.15,pc_lapse=0.15,13,60026,60027,False,1.0,0.03947836657239423,0.011110710579665043,-0.33997072899628517,0.9990041663038853
pc_lapse_rate,0.15,pc_lapse=0.15,14,60028,60029,False,1.0,0.0200983145180057,0.005587575115056193,-0.3442367452138455,0.9959582543069326
phe_lapse_rate,0.05,phe_lapse=0.05,0,70000,70001,False,1.0,0.03203120676629745,0.006872923563276523,-0.9775686916301912,0.995316630940537
phe_lapse_rate,0.05,phe_lapse=0.05,1,70002,70003,False,1.0,0.015396519648968432,0.00446901851838107,-0.9908429086846814,0.9994861118536531
phe_lapse_rate,0.05,phe_lapse=0.05,2,70004,70005,False,1.0,0.01461527340753388,0.0034130651661907277,-0.974275412061104,0.99479027438336
phe_lapse_rate,0.05,phe_lapse=0.05,3,70006,70007,False,1.0,0.020443422106447007,0.005825392057343146,-0.9996240529211845,0.9954191385951917
phe_lapse_rate,0.05,phe_lapse=0.05,4,70008,70009,False,1.0,0.017913313174094392,0.005083579957628795,-0.9842175946322885,0.9924045379484232
phe_lapse_rate,0.05,phe_lapse=0.05,5,70010,70011,False,1.0,0.013924800581035457,0.004833311131113926,-1.0132659757739706,0.9948408361458388
phe_lapse_rate,0.05,phe_lapse=0.05,6,70012,70013,False,1.0,0.02140966455488269,0.0043065128010440394,-0.9964176796522928,0.9985729275580235
phe_lapse_rate,0.05,phe_lapse=0.05,7,70014,70015,False,1.0,0.02639616626567498,0.006195028789519516,-0.9688885851946073,0.9966200019748814
phe_lapse_rate,0.05,phe_lapse=0.05,8,70016,70017,False,1.0,0.019080659516263365,0.005331472078477264,-1.006494196282273,0.9973782212193492
