seed,state,true_dw,true_decile,est_dw,err,abs_err,logit_err,logit_abserr,in_anchor_set,pc_respondents,phe_respondents,anchor_slope,anchor_r2,n_shared,wall_clock_s
1,s032,0.010691943090336442,2,0.009482165918706766,-0.0012097771716296762,0.0012097771716296762,-0.12129981777383758,0.12129981777383758,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s033,0.0111229626378329,2,0.011987012713302464,0.0008640500754695645,0.0008640500754695645,0.07568626314566007,0.07568626314566007,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s034,0.011571154457205883,2,0.011839348897854896,0.0002681944406490132,0.0002681944406490132,0.023184690662493068,0.023184690662493068,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s035,0.012037186013628203,2,0.013323537236172621,0.0012863512225444185,0.0012863512225444185,0.10283436765985599,0.10283436765985599,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s036,0.012521749345291306,2,0.0119301964946166,-0.0005915528506747064,0.0005915528506747064,-0.04899324806615901,0.04899324806615901,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s037,0.013025561854936784,2,0.014354935631178388,0.001329373776241604,0.001329373776241604,0.09852793218010891,0.09852793218010891,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s038,0.01354936711729793,2,0.01342198714914227,-0.0001273799681556602,0.0001273799681556602,-0.009574765992026002,0.009574765992026002,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s039,0.014093935701877364,2,0.013731033705387186,-0.0003629019964901774,0.0003629019964901774,-0.0264541298755967,0.0264541298755967,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s040,0.014660066010377684,2,0.013534381010825998,-0.0011256849995516863,0.0011256849995516863,-0.08103579073108147,0.08103579073108147,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
1,s041,0.015248585127984502,2,0.01660597770391272,0.001357392575928219,0.001357392575928219,0.08665537521242861,0.08665537521242861,False,14000,4000,-0.991337115054306,0.9957664594779573,30,32.74
